Month,Category,Region,Revenue,Orders,Profit,Units_Sold
Jan,Electronics,North,45000,120,9000,150
Jan,Furniture,South,30000,80,4500,100
Feb,Electronics,West,52000,140,11000,180
Feb,Clothing,North,25000,200,5000,250
Mar,Electronics,East,48000,115,9500,145
Mar,Furniture,North,35000,95,5500,120
Apr,Clothing,South,28000,210,6000,270
Apr,Electronics,South,55000,150,12000,200
May,Furniture,West,42000,110,7000,140
May,Electronics,North,60000,170,15000,230
Jun,Clothing,East,31000,230,7500,300
Jun,Furniture,South,38000,100,6000,130
Jul,Electronics,West,65000,185,16500,250
Jul,Clothing,North,33000,250,8000,320
Aug,Furniture,East,45000,125,9000,160
Sep,Electronics,South,70000,210,18000,280
Oct,Clothing,West,35000,280,9500,350
Nov,Electronics,North,85000,250,22000,340
Dec,Electronics,North,120000,400,35000,500
Dec,Furniture,West,55000,160,12000,210
Dec,Clothing,South,45000,350,11000,450
